,lemas_a,lemas_b,similarity
0,usuario,gracia,0.30439162254333496
1,usuario,querer,0.07121046632528305
2,usuario,feliz,0.24569283425807953
3,usuario,tener,0.21921329200267792
4,usuario,genial,0.10539921373128891
5,usuario,año,0.26855018734931946
6,usuario,bonito,0.49520251154899597
7,usuario,gustar,0.20874150097370148
8,usuario,esperar,0.197645902633667
9,usuario,hablar,0.21433821320533752
10,usuario,noche,0.14371651411056519
11,usuario,llegar,0.1605614423751831
12,usuario,encantar,0.06703891605138779
13,usuario,salir,0.006535351276397705
14,usuario,volver,-0.00011074828216806054
15,usuario,ver,-0.13996589183807373
16,usuario,besitos,0.0477154403924942
17,usuario,pasar,0.06165632605552673
18,usuario,guapo,0.1550241857767105
19,usuario,gente,0.21752110123634338
20,usuario,haber,0.047341588884592056
21,usuario,maravilloso,0.3765681982040405
22,usuario,seguir,0.11722272634506226
23,usuario,estar,0.05702269449830055
24,usuario,perfecto,0.2207062691450119
25,usuario,venir,0.1093534305691719
26,usuario,sentir,0.12422705441713333
27,usuario,poder,0.09819469600915909
28,usuario,acabar,0.09340953826904297
29,usuario,semana,0.11721176654100418
30,usuario,mirar,0.13898375630378723
31,usuario,vestir,0.11936075240373611
32,usuario,chico,0.48887789249420166
33,usuario,poner,0.17135918140411377
34,usuario,conocer,-0.030356215313076973
35,usuario,escuchar,0.04339271038770676
36,usuario,mil,0.03972966596484184
37,usuario,ganar,0.210885152220726
38,usuario,libro,0.4551278054714203
39,usuario,foto,0.24004675447940826
40,usuario,decir,0.04505130276083946
41,usuario,artista,-0.00837676040828228
42,usuario,mejorar,0.0249529667198658
43,usuario,felicidad,0.1621750146150589
44,usuario,tranquilo,0.3262792229652405
45,usuario,vida,0.030495133250951767
46,usuario,cumpleaños,-0.07297389954328537
47,usuario,seriar,0.0601058192551136
48,usuario,favorito,0.39648568630218506
49,usuario,personar,0.4211907684803009
50,usuario,hola,0.3114033341407776
51,usuario,compartir,0.24073924124240875
